Movie Name,Release Year,Actor 1 Age,Actor 2 Age,Actor 1 Gender,Actor 2 Gender,Age Difference,Older Actor,Avg Actor Age,Age Group,production_budget,profit,Profit (Millions),roi
The Theory of Everything,2014,32,31,man,woman,1,man,31.5,31–40,15000000,108327692,108,7.221846133333333
This Means War,2012,35,36,man,woman,1,woman,35.5,31–40,65000000,91974557,92,1.4149931846153847
Transformers: Dark of the Moon,2011,25,24,man,woman,1,man,24.5,15–30,195000000,928790543,929,4.763028425641026
Unforgettable,2017,40,39,man,woman,1,man,39.5,31–40,12000000,4221211,4,0.35176758333333336
Wonder,2017,49,50,man,woman,1,woman,49.5,41–50,20000000,284604712,285,14.2302356
Wonder,2017,49,50,man,woman,1,woman,49.5,41–50,20000000,284604712,285,14.2302356
A Simple Favor,2018,31,31,man,woman,0,Same age,31,31–40,20000000,77628717,78,3.88143585
American Hustle,2013,39,39,man,woman,0,Same age,39,31–40,40000000,217878294,218,5.44695735
American Hustle,2013,39,39,man,woman,0,Same age,39,31–40,40000000,217878294,218,5.44695735
American Pie,1999,20,20,man,woman,0,Same age,20,15–30,12000000,222723148,223,18.560262333333338
Blue Valentine,2010,30,30,man,woman,0,Same age,30,31–40,1000000,15566240,16,15.56624
Blue Valentine,2010,30,30,man,woman,0,Same age,30,31–40,1000000,15566240,16,15.56624
Good Will Hunting,1997,27,27,man,woman,0,Same age,27,15–30,10000000,215925989,216,21.5925989
Magic Mike,2012,32,32,man,woman,0,Same age,32,31–40,7000000,163549753,164,23.364250428571427
Me Before You,2016,30,30,man,woman,0,Same age,30,31–40,20000000,188265198,188,9.4132599
Red Riding Hood,2011,26,26,man,woman,0,Same age,26,15–30,42000000,49678442,50,1.1828200476190476
She's Out of My League,2010,28,28,man,woman,0,Same age,28,15–30,20000000,28680977,29,1.43404885
The Hunger Games: Catching Fire,2013,23,23,man,woman,0,Same age,23,15–30,130000000,734868047,735,5.652831130769231
